time,data_queue_size,fuel_valve_setpoint,fuel_valve_velocity,fuel_valve_acceleration,fuel_valve_nsec_per_pulse,lox_valve_setpoint,lox_valve_velocity,lox_valve_acceleration,lox_valve_nsec_per_pulse,pt102,pt103,pto401,pt202,pt203,ptf401,ptc401,ptc402,Thrust_Pred_lbf,OF_Pred,mdot_f,mdot_lox
0,0,81,0.00348687,0,55008,74,20.00318336,0,984273,572.525500396476,604.143005413995,561.868740839506,768.337010376869,728.816973140806,707.550291340612,136.876153038921,131.03710937,687.546270598209,1.22312855304185,0.689028518639761,0.842770455008418
0.001,0,81,0.00348687,0,55008,74,20.00318336,0,984273,571.452335144166,595.917575038996,555.092379814119,767.389474864437,735.161759618464,713.634334323759,135.640753565411,132.2578125,688.651875973065,1.21829006464048,0.693426213029693,0.844794265895346
0.002,0,81,0.00348687,0,55008,74,20.00318336,0,984273,571.47402364877,600.100875222324,556.953605840157,768.915678208022,736.133200538502,715.711131810212,138.072469731142,133.47851562,686.30979577432,1.21599275082076,0.692581196359725,0.842173714128198
0.003,0,81,0.00348687,0,55008,74,20.00318336,0,984273,571.762281222473,597.376856668511,557.810729935359,764.365343467411,729.25619634707,708.520866781459,140.61980772915,134.2109375,685.374979976972,1.22266865401052,0.687102621739853,0.840098837689765
0.004,0,81,0.00348687,0,55008,74,20.00318336,0,6225137,579.016709859311,593.236063523202,550.929306544374,770.644862103996,739.450668993473,717.325403970333,138.996720433748,134.94335937,685.792613176769,1.21315858761128,0.693965539675689,0.841890253963862
0.005,0,81,0.00348687,0,55008,74,20.00318336,0,6225137,571.119217428389,602.45669718927,561.754060575979,765.695086361937,735.362758085868,714.115180169241,137.502893986703,137.140625,686.562296844201,1.21655497870494,0.69246488025594,0.842421597653686
0.006,0,81,0.00348687,0,55008,74,20.00318336,0,6225137,573.99310915637,606.635918108971,565.438888237343,772.747479407599,743.89807413537,723.548609206247,138.284412651873,138.1171875,684.514212879661,1.20691610236221,0.696940791706301,0.841149063903399
0.007,0,81,0.00348687,0,55008,74,20.00318336,0,6225137,573.7938116422,595.773971110226,554.257705701463,769.480488308986,742.432955717303,721.593831937074,140.117997181441,140.55859375,684.45054871648,1.20955035411353,0.695040124714519,0.84068602897156
0.008,0,81,0.00348687,0,55008,74,20.00318336,0,6225137,578.594296589855,599.958603419522,557.554340837569,765.239443907597,743.656741503628,722.590972288011,143.625020935251,140.55859375,681.310037065787,1.20669642673988,0.693721504970958,0.837111261201064
0.009,0,81,0.00348687,0,55008,74,20.00318336,0,6225137,575.365714260468,599.108998739684,558.91591268066,766.957024087558,739.706613170413,718.650365314264,141.835586753158,142.0234375,683.162519941433,1.21135871708769,0.692471344544351,0.838831199547233
0.01,0,81,0.00348687,0,55008,74,20.00318336,0,6225137,576.285400284634,601.569974357812,559.936733632849,763.37925155043,737.005851394802,715.789831125364,141.762270025476,144.22070312,683.269298661548,1.21377065163902,0.690948078089323,0.838652498991206
0.011,0,81,0.00348687,0,55008,74,20.00318336,0,7078053,570.752915809616,594.618510354268,552.498248036597,763.768367279746,736.782144579349,716.34773863551,146.887900009051,145.68554687,679.901040183964,1.21319697094903,0.687836364092964,0.834480993426179
0.012,0,81,0.00348687,0,55008,74,20.00318336,0,7078053,570.173003310646,606.141201170928,565.154849842198,767.655274257151,740.809352692003,720.338103675645,147.022706294362,145.9296875,678.384202066685,1.20754470424237,0.690101968033374,0.833328976885935
0.013,0,81,0.00348687,0,55008,74,20.00318336,0,7078053,566.730055597401,601.159062568931,559.736462008611,774.207221203592,738.194551979849,716.381311914076,146.113592894766,146.90625,679.881377184896,1.21129401425149,0.689110075814386,0.834714909994357
0.014,0,81,0.00348687,0,55008,74,20.00318336,0,7078053,572.546922481143,596.883683844122,554.620609375422,771.551562520729,738.247861064083,717.614008129927,146.51917710536,148.61523437,679.901607300287,1.21161805468959,0.688905042655725,0.83468978764838
0.015,0,81,0.00348687,0,55008,74,20.00318336,0,7078053,576.871111199529,608.315397881069,566.269332039039,764.001476303756,748.307684499204,727.314138926211,148.163598810869,148.61523437,676.600952456355,1.19922479744046,0.693786456913043,0.832005923258475
0.016,0,81,0.00348687,0,55008,74,20.00318336,0,7078053,575.40107760495,602.325969027631,560.428793866831,772.971739180643,746.635403053233,725.650879771296,146.811753901592,152.03320312,678.36453959839,1.20236139773785,0.693601214553805,0.833959325803583
0.017,0,81,0.00348687,0,55008,74,-24.99681282,-44999.9921875,6008077,563.139623901142,604.714170259139,565.471238089515,776.63134215989,734.323703796338,713.794397125132,150.032369683533,153.7421875,676.959788397456,1.21356260363092,0.68456198015143,0.830758818979305
0.018,0,81,0.00348687,0,55008,74,-24.99681282,0,6008077,568.517979606312,605.0748802425,563.92474029594,776.755307747717,740.376240478067,719.0813449279,148.639723557263,153.98632812,677.338221281933,1.20768883493316,0.688909602303893,0.831988434980654
0.019,0,81,0.00348687,0,55008,74,-24.99681282,0,6008077,568.618572871434,601.447747503998,561.703713117065,777.577248130768,736.27414425175,715.494886621557,153.761881075996,153.25390625,674.216877210595,1.21086178077416,0.683518996342896,0.827647029104726
0.02,0,81,0.00348687,0,55008,74,-24.99681282,0,2697897,572.693755634804,594.608968114902,553.669700226099,775.360790121913,734.781488438928,713.996931056512,151.37739505141,156.18359375,676.62202394314,1.21379541851091,0.684042032327997,0.830287084908612
0.021,0,81,0.00348687,0,55008,74,-24.99681282,0,986773,573.633962817918,603.419241250043,560.981755491989,778.732164097979,746.799591280702,726.747993626131,153.013496458125,157.6484375,673.547297478846,1.20005700945303,0.690101647511577,0.828161319331352
0.022,0,81,0.00348687,0,55008,74,20.00318336,44999.9921875,1076363,570.651797396634,607.909254834069,566.236128000451,780.201807296143,744.169801524856,723.728996172132,154.800448575391,157.6484375,671.991700083337,1.20145151972468,0.687530275419521,0.826034294259512
0.023,0,81,0.00348687,0,55008,74,20.00318336,0,1262973,572.62229105883,599.046094334304,557.233050991318,773.565642486229,731.046740392788,709.60806447214,156.683535276077,160.33398437,672.674787529384,1.2156744100928,0.678721111118209,0.825103886376156
0.024,0,81,0.00348687,0,55008,74,20.00318336,0,1262973,571.378847396472,603.829803166026,563.87159157667,774.791511305683,742.844534633585,721.95812279771,155.797582781139,160.33398437,671.79126154051,1.203134645813,0.686174336967261,0.825560117873079
0.025,0,81,0.00348687,0,55008,74,20.00318336,0,1262973,573.058064214231,598.759731362915,558.164545011039,771.843494495786,742.476659023897,722.056900857492,154.015061844729,159.84570312,673.57263572663,1.20466736324834,0.687000599018222,0.827607200169313
0.026,0,81,0.00348687,0,55008,74,20.00318336,0,1262973,569.310951473251,602.661286163944,560.996477037389,779.819314557333,748.156121240063,727.446335706149,158.943338199498,162.77539062,669.4262884449,1.19683808299456,0.687438945846431,0.822753110122641
0.027,0,81,0.00348687,0,55008,74,20.00318336,0,1262973,575.730507335428,605.173946893907,564.23641466011,780.490578828285,738.589815717622,718.219353181073,160.795691198481,163.26367187,668.292864273261,1.20577521508839,0.68074523998539,0.820825738163784
0.028,0,81,0.00348687,0,55008,74,20.00318336,0,4881808,576.697318886832,606.105780306515,565.988521936786,773.430961080234,742.133293715188,720.145717730365,159.523472561826,163.75195312,668.821256015418,1.20236684727895,0.683576231137266,0.821909397907343
0.029,0,81,0.00348687,0,55008,74,20.00318336,0,4881808,570.856076386568,605.484378832198,565.634907835204,770.170067695163,744.727079498551,724.009042525886,159.530848170578,165.70507812,668.648637066944,1.19978592082222,0.685091868700784,0.821963578536986
0.03,0,81,0.00348687,0,55008,74,20.00318336,0,4881808,570.303098873724,609.723650772615,568.934648490183,772.055012578232,743.160452818624,721.483341394897,159.462268148881,165.70507812,668.378027635256,1.20073361702502,0.684214421804464,0.82155925751396
0.031,0,81,0.00348687,0,55008,74,20.00318336,0,4881808,572.91264873179,595.432303650704,552.834134356251,777.257386746493,749.811355957874,728.652208490696,161.392278634997,168.63476562,668.022646007078,1.19485269749314,0.686975778626737,0.820834862204604
0.032,0,81,0.00348687,0,55008,74,20.00318336,0,4881808,574.620256857675,604.450506612494,560.952605397744,778.601412879153,743.549099667905,722.49645597819,165.879722622271,167.90234375,664.108484561651,1.19906986130897,0.680671748555339,0.816172979137182
0.033,0,81,0.00348687,0,55008,74,20.00318336,0,4881808,575.410267842031,607.523848667311,566.899879656769,780.626200925456,736.589315781438,716.450649866813,163.218952931747,169.12304687,666.432687211953,1.20678810097086,0.678134239899862,0.81836433157207
0.034,0,81,0.00348687,0,55008,74,-24.99681282,-44999.9921875,5996290,570.994787590179,607.797517198871,567.245854186414,774.425676780263,738.668460102327,717.214406384285,166.893058418487,168.87890625,663.404364319967,1.20342494182465,0.677190390100436,0.814947805810828
0.035,0,81,0.00348687,0,55008,74,-24.99681282,0,5996290,577.220238315294,597.959669878526,557.057316423324,780.485336461065,743.180857966468,722.307225849839,165.235941238626,173.76171875,664.842126309029,1.2001883896165,0.680834064341135,0.817129139277642
0.036,0,81,0.00348687,0,55008,74,-24.99681282,0,5996290,576.036678833105,597.511882860219,555.654474773432,782.585773907186,743.568333578035,722.614776942621,165.282783760753,174.00585937,664.811885130758,1.19979084000831,0.681034672082665,0.817099161292842
0.037,0,81,0.00348687,0,55008,74,-24.99681282,0,2890913,574.876558621572,609.740200607307,568.816281168687,776.432545165689,742.319003462046,721.655957490167,167.538688633641,175.2265625,662.500309383214,1.19910879830929,0.678967514252336,0.814155920106167
0.038,0,81,0.00348687,0,55008,74,-24.99681282,0,920883,575.969945100832,604.812407190371,562.044309116667,779.434365563784,751.209620048006,729.942441358572,167.727168297509,177.42382812,663.188416799073,1.19052808334758,0.684087968425113,0.814425937890291
0.039,0,81,0.00348687,0,55008,74,20.00318336,44999.9921875,984267,578.101268276099,607.885921360144,567.486797095201,788.297712253518,746.2297895332,724.670336600989,165.427188166926,178.88867187,664.35731219882,1.19600657262513,0.68251520199985,0.816292667508389
0.04,0,81,0.00348687,0,55008,74,20.00318336,0,984267,570.805818149266,598.122241165999,557.627819248601,782.526822857062,750.203642547386,729.39039896689,167.029265460285,179.1328125,663.890557985428,1.19230961493679,0.683907347743228,0.815429306440172
0.041,0,81,0.00348687,0,55008,74,20.00318336,0,2264187,570.367697867393,605.665072510932,564.870132176029,789.968572530263,746.450926099444,725.34832295743,172.833223390606,181.0859375,659.209059554277,1.19360562296032,0.678280490520222,0.809599407429218
0.042,0,81,0.00348687,0,55008,74,20.00318336,0,2264187,581.120950709592,611.274832361899,571.526066371285,783.040605694007,737.802339496696,716.892274730815,169.249317577087,180.35351562,661.35602579792,1.20307764191865,0.6752794580914,0.812413618076708
0.043,0,81,0.00348687,0,55008,74,20.00318336,0,2264187,572.218352278959,614.325496291123,573.672951444907,779.149208519279,739.215764987372,718.134173219136,170.98952752747,181.81835937,659.554614320459,1.2005117708431,0.675085366650544,0.810447928987907
0.044,0,81,0.00348687,0,55008,74,20.00318336,0,2264187,578.151721956855,609.14923414465,568.576133247212,778.386437686937,754.506975344396,733.981299772123,171.893968349994,182.0625,660.148205668975,1.18522365339776,0.683578100108707,0.810192933193539
0.045,0,81,0.00348687,0,55008,74,20.00318336,0,2264187,572.976452256434,603.213297575856,561.261319621375,778.794616966393,746.189506428443,725.416266113106,178.423543311622,183.28320312,655.24031828661,1.19213906445285,0.674811895098291,0.804469621304128
0.046,0,81,0.00348687,0,55008,74,20.00318336,0,4935895,582.953171807762,612.042558782703,572.646511913795,782.537858712273,739.944803,719.121396693648,174.098294289468,184.50390625,657.513683847041,1.19919884489924,0.673670256343024,0.807864593249531
0.047,0,81,0.00348687,0,55008,74,20.00318336,0,4935895,581.503125467863,613.24595369717,572.185489467374,780.865582895028,748.116913744931,726.27668916398,176.198583831913,184.50390625,656.410241292491,1.18976237155629,0.677275024359844,0.80579633917821
0.048,0,81,0.00348687,0,55008,74,20.00318336,0,4935895,585.844057302654,608.940136725782,568.255511246029,788.888695512623,750.741435958768,729.983800956068,177.465888443252,186.21289062,655.965880674307,1.18722448772665,0.678078167780429,0.805031005381746
0.049,0,81,0.00348687,0,55008,74,20.00318336,0,4935895,580.230331931119,610.98035481541,569.507348798935,781.6057761679,740.617493142571,719.336428968446,180.786795683881,186.45703125,652.832373312507,1.1965241328322,0.670079616291752,0.801766431812022
0.05,0,81,0.00348687,0,55008,74,20.00318336,0,4935895,576.268000839235,611.111518013191,570.301155785061,782.602592157052,739.877022444805,718.325967738296,180.629155745461,187.67773437,652.891751748925,1.19734987486062,0.669730720890588,0.801901994848656
0.051,0,81,0.00348687,0,55008,74,20.00318336,0,4935895,579.189783565994,607.289533458743,567.614066924482,782.08591909808,742.577198406495,722.220102066499,180.235697403586,188.16601562,653.550375303575,1.19502342116207,0.671580566575015,0.802554506254437
0.052,0,81,0.00348687,0,55008,74,-24.99681282,-44999.9921875,6028825,585.631075003445,613.699033760498,571.943054640974,785.908247730774,746.985863752677,726.235084992288,182.187880769215,187.67773437,652.046079609157,1.18894003523678,0.6730458042051,0.800211102167576
0.053,0,81,0.00348687,0,55008,74,-24.99681282,0,6028825,579.402612923743,610.92952365324,570.746241971358,786.170617117296,750.434058213259,729.308391757963,181.212054877072,189.14257812,653.148097486135,1.18603236166503,0.675676621225467,0.801374338793891
0.054,0,81,0.00348687,0,55008,74,-24.99681282,0,6028825,577.800226041892,616.104097346355,573.510951862067,782.794198520936,748.295370280314,727.521266539577,180.549469187264,189.14257812,653.099738426167,1.18769821279647,0.674799972745813,0.801458721625309
0.055,0,81,0.00348687,0,55008,74,-24.99681282,0,2865073,576.328473775962,608.795242645265,568.28256994649,780.608717266379,751.411274444081,730.437895154909,183.486013299878,190.8515625,651.695136624796,1.18446716164796,0.674906554404884,0.799404650873556
0.056,0,81,0.00348687,0,55008,74,-24.99681282,0,935850,582.041774166829,621.668637883156,579.433717015291,783.788234874128,747.062535708389,726.189498041139,183.092556879545,190.36328125,650.683753106367,1.18708119998137,0.672552274539473,0.79837416111052
0.057,0,81,0.00348687,0,55008,74,20.00318336,44999.9921875,958895,579.818620540204,612.622992164436,572.433870741747,781.613395830173,750.396105644661,729.425756402481,181.873497502303,192.07226562,652.564210204638,1.1856262645002,0.675261396386603,0.800607646959037
0.058,0,81,0.00348687,0,55008,74,20.00318336,0,1216088,578.589133833994,610.690992416931,570.90766452768,787.238950780523,761.553933496318,739.777022391459,184.862460359432,193.53710937,651.286027361779,1.17333720584204,0.680095369114804,0.797981200103271
0.059,0,81,0.00348687,0,55008,74,20.00318336,0,1216088,585.379520170369,609.146515447534,568.730181910615,785.675838369185,747.776593350202,726.981917915823,185.334875040131,195.00195312,650.108889588773,1.18760505440613,0.671640406545422,0.797643541556732
0.06,0,81,0.00348687,0,55008,74,20.00318336,0,1216088,585.365059399979,619.419788302646,580.168825574858,787.547184370382,739.917915474292,718.662608724113,186.007462978021,194.51367187,648.396172114408,1.19428954613768,0.666527132274808,0.796026386292928
