time,data_queue_size,fuel_valve_setpoint,fuel_valve_velocity,fuel_valve_acceleration,fuel_valve_nsec_per_pulse,lox_valve_setpoint,lox_valve_velocity,lox_valve_acceleration,lox_valve_nsec_per_pulse,pt102,pt103,pto401,pt202,pt203,ptf401,ptc401,ptc402,Thrust_Pred_lbf,OF_Pred,mdot_f,mdot_lox
0,0,81,0.00348687,0,7189945,74,20.00318336,0,1222898,684.308102781619,601.979838794424,560.206583864424,769.166932749389,741.31559584393,720.821865570182,351.602997181396,348.57226562,516.359270179155,1.10637925612502,0.559075261506843,0.618549271943841
0.001,0,81,0.00348687,0,7189945,74,20.00318336,0,1222898,686.33932898569,610.694387477962,568.072506414831,769.110057964945,751.336233552705,730.273612150866,352.046717143304,347.83984375,520.139643347535,1.09896963164377,0.565903013333558,0.621910226109279
0.002,0,81,0.00348687,0,7189945,74,20.00318336,0,1222898,681.151212900927,603.046890553707,560.984550828537,770.112889318373,739.87075641716,719.079550801045,350.840555729124,348.328125,517.075361386,1.10993984360513,0.558585568611001,0.619996378664175
0.003,0,81,0.00348687,0,7189945,74,20.00318336,0,5999303,678.71663378884,603.777385735389,562.809658522508,772.106563435911,743.462200078651,722.81198915193,351.18680262213,348.81640625,517.632427088335,1.10519023864068,0.560910523647021,0.619912835485522
0.004,0,81,0.00348687,0,7189945,74,20.00318336,0,5999303,678.739013503589,599.829212747229,559.338172677842,770.057470918996,750.439638154012,729.391359669742,351.606820912888,349.3046875,517.257804336439,1.09178413208893,0.565579286602821,0.617490490551135
0.005,0,81,0.00348687,0,7189945,74,20.00318336,0,5999303,683.397351733131,605.114629934741,564.044012840256,771.988425410656,745.16223589891,724.828379713525,353.400505061042,349.54882812,516.376951002237,1.10217649773148,0.560543160060074,0.61781749698235
0.006,0,81,0.00348687,0,7189945,74,20.00318336,0,5999303,683.717611304598,610.252443381523,567.320083331753,769.275274124869,748.899421326291,727.97993621554,351.942118852291,349.54882812,519.691827284353,1.10209072628415,0.564247898803112,0.621852376596229
0.007,0,81,0.00348687,0,7189945,74,20.00318336,0,5999303,682.812659534433,600.331472881327,558.472009649789,768.072612155128,740.714391982578,720.089879960368,352.439455333887,350.03710937,515.020055100832,1.10512098522396,0.558043085597338,0.616705124552751
0.008,0,81,0.00348687,0,7189945,74,20.00318336,0,5999303,682.187444611799,600.90486549831,558.785719939674,770.357147105903,753.293874314816,731.257778561463,351.952288785276,350.28125,517.742961100152,1.08854878374979,0.567355322799406,0.617593946587263
0.009,0,81,0.00348687,0,7189945,74,-24.99681282,-44999.9921875,5996417,679.042954140914,601.002727562685,560.339404686594,775.519204930308,742.397771887483,721.123570632837,351.91690385943,350.03710937,515.993166457629,1.10374752435461,0.559626063456729,0.617685882104678
0.01,0,81,0.00348687,0,7189945,74,-24.99681282,0,5996417,688.060011911407,603.823481851032,564.24260970421,770.728390799014,744.544041740641,723.034796580755,353.270365665475,350.52539062,516.013008423669,1.10206951775074,0.560193890344119,0.617372610578453
0.011,0,81,0.00348687,0,7189945,74,-24.99681282,0,1864673,688.84938948253,606.824941714283,565.693157000484,770.050407923515,743.254407707065,723.182632306847,350.859517426743,350.52539062,518.714926165618,1.10819383052584,0.560995947917062,0.621692248431686
0.012,0,81,0.00348687,0,7189945,74,-24.99681282,0,941122,692.516914033371,601.58679447191,561.109939577257,770.265465876787,745.222956561139,724.206215435221,353.528861900667,350.76953125,515.243221728215,1.09898061927011,0.560494770145807,0.615972889592494
0.013,0,81,0.00348687,0,7189945,74,20.00318336,44999.9921875,966097,685.930359518634,608.895231315239,566.256334271513,769.639992253084,748.001805587609,727.506814023373,352.728433724866,351.01367187,518.502204691704,1.10172771511382,0.563049830260967,0.620327602988642
0.014,0,81,0.00348687,0,7189945,74,20.00318336,0,966097,687.607656230716,608.095632426555,567.140905114548,773.589616088016,740.086739571809,719.230114528887,354.29290224537,351.74609375,515.473378436495,1.11113780259366,0.556257264338985,0.618078474374382
0.015,0,81,0.00348687,0,7189945,74,20.00318336,0,2219613,685.584912295674,607.381191644802,565.883410760879,770.566060684939,744.86447458896,724.019459348396,351.80385625711,351.50195312,518.333741491593,1.10564798520599,0.561471632587474,0.620789979320658
0.016,0,81,0.00348687,0,7189945,74,20.00318336,0,2219613,692.791601418654,617.637618160805,576.349147589946,771.211610599539,744.999972182109,723.425918301364,353.357843578254,351.74609375,519.509812998718,1.11168454901181,0.560457588491194,0.62305204150208
0.017,0,81,0.00348687,0,7189945,74,20.00318336,0,2219613,688.12198289771,598.542418080196,557.121775163132,770.128161882622,739.091134715176,718.507432043073,354.128059948365,350.76953125,512.664135548666,1.10442930572662,0.555658023615672,0.613685005243282
